Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
106604;ABN AMRO Interval Fund - Quarterly Plan I - Quarterly Dividend Option - Compulsory Renewal;10.0113;9.9112;10.0113;24-Dec-2007
105438;ABN AMRO Money Plus Fund-Institutional Plan- Daily Dividend Option (Compulsory Reinvestment);10.0001;10.0001;10.0001;24-Dec-2007
103291;ABN AMRO Money Plus Fund-Institutional Plan-Growth Option;11.7177;11.7177;11.7177;24-Dec-2007
103293;ABN AMRO Money Plus Fund-Institutional Plan-Monthly Dividend Option;10.0586;10.0586;10.0586;24-Dec-2007
103292;ABN AMRO Money Plus Fund-Institutional Plan-Weekly Dividend Option;10.0089;10.0089;10.0089;24-Dec-2007
106880;ABN AMRO Money Plus Fund-Regular Plan- Daily Dividend Option (Compulsory Reinvestment);10.0001;10.0001;10.0001;24-Dec-2007
103288;ABN AMRO Money Plus Fund-Regular Plan-Growth Option;11.6560;11.6560;11.6560;24-Dec-2007
103290;ABN AMRO Money Plus Fund-Regular Plan-Monthly Dividend Option;10.0571;10.0571;10.0571;24-Dec-2007
103289;ABN AMRO Money Plus Fund-Regular Plan-Weekly Dividend Option;10.0086;10.0086;10.0086;24-Dec-2007

AIG Global Investment Group Mutual Fund
106532;AIG India Treasury Plus Fund-Institutional Plan-Bonus Option;0.0000;0.0000;0.0000;12-Oct-2007
106524;AIG India Treasury Plus Fund-Institutional Plan-Daily Dividend Option;10.0109;10.0109;10.0109;24-Dec-2007
106523;AIG India Treasury Plus Fund-Institutional Plan-Growth Option;10.2191;10.2191;10.2191;24-Dec-2007
106525;AIG India Treasury Plus Fund-Institutional Plan-Monthly Dividend Option;0.0000;0.0000;0.0000;12-Oct-2007
106536;AIG India Treasury Plus Fund-Institutional Plan-Quarterly Dividend Option;0.0000;0.0000;0.0000;12-Oct-2007
106535;AIG India Treasury Plus Fund-Institutional Plan-Weekly Dividend Option;10.0110;10.0110;10.0110;24-Dec-2007
106529;AIG India Treasury Plus Fund-Retail Plan-Bonus Option;10.2099;10.2099;10.2099;24-Dec-2007
106534;AIG India Treasury Plus Fund-Retail Plan-Daily Dividend Option;10.0106;10.0106;10.0106;24-Dec-2007
106521;AIG India Treasury Plus Fund-Retail Plan-Growth Option;10.2099;10.2099;10.2099;24-Dec-2007

106530;AIG India Treasury Plus Fund-Retail Plan-Monthly Dividend Option;10.0701;10.0701;10.0701;24-Dec-2007
